timestamp,timestamp_ms,value
2025-05-23 06:20:28.048127+00:00,29474864,50.87
2025-05-23 06:20:43.062822+00:00,29489872,50.97
2025-05-23 06:20:58.069872+00:00,29504880,50.89
2025-05-23 06:21:13.074722+00:00,29519888,50.96
2025-05-23 06:21:28.076001+00:00,29534896,50.92
2025-05-23 06:21:43.091313+00:00,29549904,50.96
2025-05-23 06:21:58.098021+00:00,29564912,50.95
2025-05-23 06:22:13.102810+00:00,29579920,50.94
2025-05-23 06:22:28.107945+00:00,29594928,50.93
2025-05-23 06:22:43.118054+00:00,29609936,50.93
2025-05-23 06:22:58.124313+00:00,29624944,51.0
2025-05-23 06:23:13.132216+00:00,29639952,50.96
2025-05-23 06:23:28.137700+00:00,29654960,50.94
2025-05-23 06:23:43.137067+00:00,29669968,51.0
2025-05-23 06:23:58.155006+00:00,29684976,50.97
2025-05-23 06:24:13.151524+00:00,29699984,50.98
2025-05-23 06:24:28.167870+00:00,29714992,50.95
2025-05-23 06:24:43.175271+00:00,29730000,50.99
2025-05-23 06:24:58.172934+00:00,29745008,51.0
2025-05-23 06:25:13.190401+00:00,29760016,51.06
2025-05-23 06:25:28.195671+00:00,29775024,51.04
2025-05-23 06:25:43.203749+00:00,29790032,51.05
2025-05-23 06:25:58.204277+00:00,29805040,51.05
2025-05-23 06:26:13.219097+00:00,29820048,51.03
2025-05-23 06:26:28.224239+00:00,29835056,51.08
2025-05-23 06:26:43.226774+00:00,29850064,51.06
2025-05-23 06:26:58.239798+00:00,29865072,51.09
2025-05-23 06:27:13.245973+00:00,29880080,51.12
2025-05-23 06:27:28.239263+00:00,29895088,51.09
2025-05-23 06:27:43.261035+00:00,29910096,51.04
2025-05-23 06:27:58.266973+00:00,29925104,51.07
2025-05-23 06:28:13.270013+00:00,29940112,51.05
2025-05-23 06:28:28.270966+00:00,29955120,51.07
2025-05-23 06:28:43.282765+00:00,29970128,51.07
2025-05-23 06:28:58.296762+00:00,29985136,51.06
2025-05-23 06:29:13.303794+00:00,30000144,51.09
2025-05-23 06:29:28.310060+00:00,30015152,51.1
2025-05-23 06:29:43.317614+00:00,30030160,51.09
2025-05-23 06:29:58.324845+00:00,30045168,51.07
2025-05-23 06:30:13.325568+00:00,30060176,51.1
2025-05-23 06:30:28.330497+00:00,30075184,51.05
2025-05-23 06:30:43.344551+00:00,30090192,51.11
2025-05-23 06:30:58.352131+00:00,30105200,51.06
2025-05-23 06:31:13.359203+00:00,30120208,51.06
2025-05-23 06:31:28.360744+00:00,30135216,51.09
2025-05-23 06:31:43.374963+00:00,30150224,51.13
2025-05-23 06:31:58.379985+00:00,30165232,51.07
2025-05-23 06:32:13.387256+00:00,30180240,51.13
2025-05-23 06:32:28.390583+00:00,30195248,51.13
2025-05-23 06:32:43.392250+00:00,30210256,51.12
2025-05-23 06:32:58.408559+00:00,30225264,51.11
2025-05-23 06:33:13.415296+00:00,30240272,51.12
2025-05-23 06:33:28.422955+00:00,30255280,51.15
2025-05-23 06:33:43.426504+00:00,30270288,51.17
2025-05-23 06:33:58.438369+00:00,30285296,51.16
2025-05-23 06:34:13.444655+00:00,30300304,51.17
2025-05-23 06:34:28.448590+00:00,30315312,51.19
2025-05-23 06:34:43.458634+00:00,30330320,51.2
2025-05-23 06:34:58.457183+00:00,30345328,51.19
2025-05-23 06:35:13.473430+00:00,30360336,51.21
2025-05-23 06:35:28.480346+00:00,30375344,51.19
2025-05-23 06:35:43.483844+00:00,30390352,51.19
2025-05-23 06:35:58.487176+00:00,30405360,51.22
2025-05-23 06:36:13.500553+00:00,30420368,51.23
2025-05-23 06:36:28.508014+00:00,30435376,51.23
2025-05-23 06:36:43.513674+00:00,30450384,51.19
2025-05-23 06:36:58.523883+00:00,30465392,51.21
2025-05-23 06:37:13.529128+00:00,30480400,51.21
2025-05-23 06:37:28.538075+00:00,30495408,51.23
2025-05-23 06:37:43.542286+00:00,30510416,51.22
2025-05-23 06:37:58.544101+00:00,30525424,51.26
2025-05-23 06:38:13.557631+00:00,30540432,51.24
2025-05-23 06:38:28.564369+00:00,30555440,51.3
2025-05-23 06:38:43.571451+00:00,30570448,51.27
2025-05-23 06:38:58.578983+00:00,30585456,51.26
2025-05-23 06:39:13.586904+00:00,30600464,51.23
2025-05-23 06:39:28.593590+00:00,30615472,51.22
2025-05-23 06:39:43.596266+00:00,30630480,51.28
2025-05-23 06:39:58.608503+00:00,30645488,51.26
2025-05-23 06:40:13.608212+00:00,30660496,51.26
2025-05-23 06:40:28.623106+00:00,30675504,51.28
2025-05-23 06:40:43.627591+00:00,30690512,51.27
2025-05-23 06:40:58.634831+00:00,30705520,51.26
2025-05-23 06:41:13.637459+00:00,30720528,51.28
