timestamp,timestamp_ms,value
2025-05-23 00:00:02.267059+00:00,6647696,643
2025-05-23 00:00:17.268666+00:00,6662704,643
2025-05-23 00:00:32.283239+00:00,6677712,644
2025-05-23 00:00:47.292923+00:00,6692720,643
2025-05-23 00:01:02.299209+00:00,6707728,643
2025-05-23 00:01:17.307610+00:00,6722736,643
2025-05-23 00:01:32.315062+00:00,6737744,642
2025-05-23 00:01:47.321633+00:00,6752752,641
2025-05-23 00:02:02.326999+00:00,6767760,641
2025-05-23 00:02:17.335987+00:00,6782768,640
2025-05-23 00:02:32.343067+00:00,6797776,639
2025-05-23 00:02:47.349735+00:00,6812784,639
2025-05-23 00:03:02.354462+00:00,6827792,639
2025-05-23 00:03:17.364499+00:00,6842800,639
2025-05-23 00:03:32.363214+00:00,6857808,640
2025-05-23 00:03:47.377624+00:00,6872816,639
2025-05-23 00:04:02.384834+00:00,6887824,640
2025-05-23 00:04:17.392675+00:00,6902832,640
2025-05-23 00:04:32.398189+00:00,6917840,640
2025-05-23 00:04:47.398633+00:00,6932848,640
2025-05-23 00:05:02.399018+00:00,6947856,641
2025-05-23 00:05:17.419942+00:00,6962864,642
2025-05-23 00:05:32.423411+00:00,6977872,643
2025-05-23 00:05:47.434581+00:00,6992880,642
2025-05-23 00:06:02.440921+00:00,7007888,641
2025-05-23 00:06:17.448353+00:00,7022896,642
2025-05-23 00:06:32.456037+00:00,7037904,642
2025-05-23 00:06:47.463750+00:00,7052912,642
2025-05-23 00:07:02.461605+00:00,7067920,642
2025-05-23 00:07:17.463859+00:00,7082928,642
2025-05-23 00:07:32.483186+00:00,7097936,642
2025-05-23 00:07:47.488319+00:00,7112944,642
2025-05-23 00:08:02.498845+00:00,7127952,642
2025-05-23 00:08:17.506198+00:00,7142960,641
2025-05-23 00:08:32.511312+00:00,7157968,641
2025-05-23 00:08:47.518933+00:00,7172976,641
2025-05-23 00:09:02.526462+00:00,7187984,642
2025-05-23 00:09:17.529271+00:00,7202992,642
2025-05-23 00:09:32.540378+00:00,7218000,643
